Group,Area
Miriah Meyer,InfoVis
Alex Lex,InfoVis
Sarang Joshi,Imaging
Ross Whitaker,Imaging
Tom Fletcher,Imaging
Tolga Tasdizen,Imaging
Chuck Hansen,SciVis
Valerio Pascucci,SciVis
Bei Wang,SciVis
Mike Kirby,Scientific Computing
Martin Berzins,Scientific Computing
Sarang Joshi,Scientific Computing
Chris Butson,Simulation
Rob MacLeod,Simulation
Jeff Weiss,Simulation
